app_name,review_date,rating,cleaned_content,review_length,flag_safety,flag_subscription
Tinder,1970-01-01 00:29:25.149993,5,amazing app,2,0,0
Tinder,1970-01-01 00:29:25.149172,1,nowadays frauds using tinder paid tinder membership one scammer girl profile msg said lets meet met suddenly told lets go cafe name cafe brought old hotel shes people already arrived taken cash taken money wallet paid hotel even im enter hotel tell came hereno replyshe take ciggeratescholts shop telling paid,50,1,0
Tinder,1970-01-01 00:29:25.148483,5,goods apps hope mg soulmate,5,0,0
Tinder,1970-01-01 00:29:25.147624,3,good,1,0,0
Tinder,1970-01-01 00:29:25.146464,1,terrible app got shadow banned clarified reason tried contact support radio silence,12,0,0
Tinder,1970-01-01 00:29:25.145240,1,pretty good app youre town bike loose prowl different town gold standard toxic femininity,14,0,0
Tinder,1970-01-01 00:29:25.145224,5,thought would go worse got like matches first hour,9,0,0
Tinder,1970-01-01 00:29:25.143948,5,good,1,0,0
Tinder,1970-01-01 00:29:25.143573,5,great app,2,0,0
Tinder,1970-01-01 00:29:25.142042,5,nice,1,0,0
Tinder,1970-01-01 00:29:25.140506,1,dating app worse think fake profile rest profile genuine scammers restaurant scam friend get subscription didnt match one genuine match got genuine match thay countries,25,1,1
Tinder,1970-01-01 00:29:25.139086,1,tinder scammer app subscribed tinder platinum subscription days subscription gone profile pictures gone cant even help ask another money subscription last month till rd januaryi hate app wouldnt recommend anyone install junk youll loose money tinder need refund,38,1,1
Tinder,1970-01-01 00:29:25.137930,1,interested,1,0,0
Tinder,1970-01-01 00:29:25.136651,1,app tells people liking never show swipe somehow even change coordinates age exactly specs person still never show feed,19,0,0
Tinder,1970-01-01 00:29:25.135832,1,literally using tinder full bots every corner bot text phone number avail tried callingtexting nobody picked complete scam waste time compensation big shame tinder hell need pay see like seriously cmon instant delete bet like bot anyway,37,1,1
Tinder,1970-01-01 00:29:25.135780,1,tinder deleted paid account without permission wont recover,8,0,0
Tinder,1970-01-01 00:29:25.134296,1,forcing u scan face order use app reason never cared snapchat tindr never like change along disclaimers want u upload id sht dumb give u biometric data deleted,28,0,0
Tinder,1970-01-01 00:29:25.132668,1,camera go speaking video important verify people say tinder backing safety customers,12,0,0
Tinder,1970-01-01 00:29:25.128663,1,used tinder six months got zero dates barely replies im men whose profiles algorithm deliberately throttles unless pay boosts super likes confirmed exemployees multiple studies artificial scarcity model sells hope matches recent peerreviewed research links heavy tinder use higher rates depression anxiety bodyimage issues lowered selfworth especially men face constant rejection look elsewhere,53,0,1
Tinder,1970-01-01 00:29:25.126249,1,dosent even load photosyoull waiting mins find photos,8,0,0
Tinder,1970-01-01 00:29:25.125931,1,total waste time scam,4,1,0
Tinder,1970-01-01 00:29:25.125427,1,bad,1,0,0
Tinder,1970-01-01 00:29:25.123896,1,completely trashlies coming match group doubt bot cityneed pay far much money anything complete rip joke plenty catfish samesame folks behind profit everythingbring lies,24,0,1
Tinder,1970-01-01 00:29:25.123818,5,gotten laid couple times works bois,6,0,0
Tinder,1970-01-01 00:29:25.123727,2,feel like profiles fake constantly get likes people live miles away,11,0,0
Tinder,1970-01-01 00:29:25.121433,5,great place chat people,4,0,0
Tinder,1970-01-01 00:29:25.120630,1,submit drivers licence doesnt accept ither says blury couldnt verify,10,0,0
Tinder,1970-01-01 00:29:25.119418,1,wish could give negative stars worst dating app find many fake accounts people trying scam sends many notifications phone advertising silence app use app seriously trying date plenty fish okcupid facebook better dating apps id rather go bar cant stand date people use app scam thats putting mildly negative stars,50,1,0
Tinder,1970-01-01 00:29:25.118938,1,deleted matches randomly blue,4,0,0
Tinder,1970-01-01 00:29:25.117358,1,plan use app get banned explanation app want appeal ban lose app get banned explanation lose appeal email automated response app definitely,22,0,0
Tinder,1970-01-01 00:29:25.117088,1,difficult find people connected,4,0,0
Tinder,1970-01-01 00:29:25.116738,5,expeditiously,1,0,0
Tinder,1970-01-01 00:29:25.115331,5,great place meet new people,5,0,0
Tinder,1970-01-01 00:29:25.113289,1,sucks,1,0,0
Tinder,1970-01-01 00:29:25.112917,1,app rigged profiles ai bots fake profiles also matching someone didnt like happens oftenoverall app trash,16,0,0
Tinder,1970-01-01 00:29:25.111988,1,got logged reason boost started cant log asking verify pay money yet make difficult,14,0,1
Tinder,1970-01-01 00:29:25.111128,5,excellent,1,0,0
Tinder,1970-01-01 00:29:25.110286,5,good,1,0,0
Tinder,1970-01-01 00:29:25.108553,1,almost profiles fake money fishing app,6,0,0
Tinder,1970-01-01 00:29:25.108530,1,plain simple bumble way better app soaks ad revenue locks likes receive paywall mention half scam bots lol,18,1,1
Tinder,1970-01-01 00:29:25.108134,4,im new love app dont know im finding difficult pay upgraded feature mtn momo,14,0,1
Tinder,1970-01-01 00:29:25.107675,5,good app love much,4,0,0
Tinder,1970-01-01 00:29:25.106253,3,literally pay everythingand constantly show profiles even swipe left themand constantly show profiles make seem like swiped right soon swipe right themits matchits profile youve already swiped left five times showing put location area ten miles literally show people dont even live state,43,0,1
Tinder,1970-01-01 00:29:25.104933,1,reporting system discriminates trans keep getting suspended real reason within weeks people swiping right trans got angry read profile swiped attracted discovering trans challenged belief thereby creating anger nothing tinder needs way separate pure discrimination reporting system,37,0,0
Tinder,1970-01-01 00:29:25.104701,1,good,1,0,0
